# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-1007.551145017628 2015.102290035257 -3022.653435052885 -249581.1013366742 196486.5318995631 -377526.3448259664 
-997.4756335674521 1994.951267134904 -2992.426900702356 -250490.2848481767 196288.0724576172 -377027.1000969989 
-987.4001221172757 1974.800244234551 -2962.200366351827 -251410.3354288882 196090.6155407063 -376517.1153299683 
-977.3246106670995 1954.649221334199 -2931.973832001298 -252341.9230388199 195894.8033116616 -375995.4844310711 
-967.2490992169231 1934.498198433846 -2901.747297650769 -253285.1466408037 195700.6576376371 -375461.9973996613 
-957.1735877667469 1914.347175533494 -2871.52076330024 -254240.104249722 195508.2123521827 -374916.434280953 
-947.0980763165705 1894.196152633141 -2841.294228949711 -255206.8843484086 195317.4812340608 -374358.587594248 
-937.0225648663943 1874.045129732789 -2811.067694599183 -256185.5731250012 195128.4855772489 -373788.2430453692 
-926.947053416218 1853.894106832436 -2780.841160248654 -257176.2507824971 194941.2419156655 -373205.1883801142 
-916.8715419660417 1833.743083932083 -2750.614625898125 -258178.9882952558 194755.7495621517 -372609.2221286571 
-906.7960305158654 1813.592061031731 -2720.388091547597 -259193.8540278586 194572.0184037621 -372000.1345274909 
-896.7205190656891 1793.441038131378 -2690.161557197067 -260220.9056063735 194390.0363275616 -371377.730164274 
-886.6450076155128 1773.290015231026 -2659.935022846538 -261260.1963177939 194209.7970775896 -370741.8089979459 
-876.5694961653367 1753.138992330673 -2629.70848849601 -262311.7718233882 194031.28781288 -370092.1751571497 
-866.4939847151602 1732.98796943032 -2599.48195414548 -263375.6674735664 193854.4765601539 -369428.6454789913 
-856.4184732649841 1712.836946529968 -2569.255419794952 -264451.913928964 193679.3402146397 -368751.0309047684 
-846.3429618148077 1692.685923629615 -2539.028885444423 -265540.5304043548 193505.8317548315 -368059.1585458033 
-836.2674503646315 1672.534900729263 -2508.802351093894 -266641.5300284805 193333.9082842385 -367352.8532237262 
-826.1919389144551 1652.38387782891 -2478.575816743366 -267754.9171504682 193163.5185231855 -366631.9460351059 
-816.1164274642789 1632.232854928558 -2448.349282392837 -268880.6854061038 192994.5902870053 -365896.2824838408 
-806.0409160141025 1612.081832028205 -2418.122748042308 -270018.8221374936 192827.0585811369 -365145.70457617 
-795.9654045639263 1591.930809127853 -2387.896213691779 -271169.3033980897 192660.8328290598 -364380.0718867703 
-785.8898931137501 1571.7797862275 -2357.66967934125 -272332.0980682466 192495.8249852473 -363599.2438454683 
-775.8143816635737 1551.628763327147 -2327.443144990721 -273507.1659433836 192331.9370731777 -362803.0878579972 
-765.7388702133975 1531.477740426795 -2297.216610640192 -274694.4567283037 192169.0488017683 -361991.4868133856 
-755.6633587632211 1511.326717526442 -2266.990076289664 -275893.9127479742 192007.0416030251 -361164.3244888223 
-745.5878473130449 1491.17569462609 -2236.763541939134 -277105.4675876388 191845.7862539075 -360321.4932940527 
-735.5123358628686 1471.024671725737 -2206.537007588606 -278329.0457154026 191685.1306301905 -359462.901293639 
-725.4368244126923 1450.873648825385 -2176.310473238077 -279564.5644040665 191524.9236755092 -358588.4581810398 
