# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-1007.551145017628 2015.102290035257 -3022.653435052885 -456521.294860676 640270.3974128638 -1187716.901932233 
-997.4756335674521 1994.951267134904 -2992.426900702356 -457486.2172305002 638634.1982870811 -1188226.424307398 
-987.4001221172757 1974.800244234551 -2962.200366351827 -458476.7115304598 636945.0631520795 -1188751.195629433 
-977.3246106670995 1954.649221334199 -2931.973832001298 -459492.6835916138 635209.4975519144 -1189287.468001584 
-967.2490992169231 1934.498198433846 -2901.747297650769 -460535.0949058483 633425.609886937 -1189835.592298121 
-957.1735877667469 1914.347175533494 -2871.52076330024 -461604.9689781074 631591.3907697748 -1190395.934687373 
-947.0980763165705 1894.196152633141 -2841.294228949711 -462703.381367368 629704.7202015108 -1190968.874415761 
-937.0225648663943 1874.045129732789 -2811.067694599183 -463831.4629241729 627763.3601000991 -1191554.804160284 
-926.947053416218 1853.894106832436 -2780.841160248654 -464990.4032529327 625764.9461874021 -1192154.130389922 
-916.8715419660417 1833.743083932083 -2750.614625898125 -466181.440203278 623706.9787435571 -1192767.27951289 
-906.7960305158654 1813.592061031731 -2720.388091547597 -467405.920632737 621586.8148161683 -1193394.675119743 
-896.7205190656891 1793.441038131378 -2690.161557197067 -468665.2053525747 619401.6547215941 -1194036.778755151 
-886.6450076155128 1773.290015231026 -2659.935022846538 -469960.773044255 617148.5347408141 -1194694.049314263 
-876.5694961653367 1753.138992330673 -2629.70848849601 -471294.1684628202 614824.3127380189 -1195366.966600284 
-866.4939847151602 1732.98796943032 -2599.48195414548 -472667.0218234009 612425.6556550262 -1196056.025600853 
-856.4184732649841 1712.836946529968 -2569.255419794952 -474081.0544948479 609949.0253081124 -1196761.736476704 
-846.3429618148077 1692.685923629615 -2539.028885444423 -475538.0706304874 607390.6604873313 -1197484.6314395 
-836.2674503646315 1672.534900729263 -2508.802351093894 -477040.0214384607 604746.5699218068 -1198225.236637003 
-826.1919389144551 1652.38387782891 -2478.575816743366 -478588.9112264215 602012.4967894515 -1198984.120562253 
-816.1164274642789 1632.232854928558 -2448.349282392837 -480186.9058416983 599183.916894206 -1199761.844198046 
-806.0409160141025 1612.081832028205 -2418.122748042308 -481836.2831515732 596256.0066816051 -1200558.98827787 
