#     time          Mx           My           Mz      
#     (ns)         (1)          (1)          (1)     
           0       608112            0       608112
  5.5094e-15       608073      110.215       608151
 1.10188e-14       608034      220.422       608190
 2.03572e-14       607968      407.199       608256
 5.17072e-14       607745      1034.07       608477
 8.30572e-14       607521      1660.72       608698
 1.14407e-13       607296      2287.11       608919
 1.45757e-13       607070      2913.26       609139
  1.9536e-13       606712      3903.41       609487
 2.44962e-13       606350       4892.9       609833
 2.94564e-13       605987      5881.71       610179
 3.44167e-13       605621      6869.83       610525
 3.93769e-13       605253      7857.25       610869
 4.43372e-13       604882      8843.96       611212
 4.92974e-13       604510      9829.96       611555
 5.42576e-13       604135      10815.2       611896
 5.92179e-13       603757      11799.8       612237
 6.41781e-13       603378      12783.5       612577
 6.91383e-13       602996      13766.5       612916
 7.40986e-13       602612      14748.8       613255
 7.90588e-13       602226      15730.2       613592
 8.40191e-13       601837      16710.9       613929
 8.89793e-13       601446      17690.8       614265
 9.39395e-13       601053      18669.8       614600
 9.88998e-13       600658      19648.1       614934
  1.0386e-12       600260      20625.5       615268
  1.0882e-12       599861        21602       615601
 1.13781e-12       599459      22577.8       615933
 1.18741e-12       599055      23552.6       616264
 1.23701e-12       598648      24526.6       616595
 1.28661e-12       598240      25499.7       616924
 1.33621e-12       597829      26471.9       617253
  1.4111e-12       597205      27937.9       617749
 1.48598e-12       596575      29401.9       618242
 1.56086e-12       595941      30863.7       618734
 1.63575e-12       595302      32323.3       619224
 1.71063e-12       594658      33780.8       619713
 1.78551e-12       594009      35236.1       620200
 1.86039e-12       593355      36689.2       620686
 1.93528e-12       592697      38139.9       621170
 2.01016e-12       592033      39588.4       621652
 2.08504e-12       591365      41034.6       622133
 2.15992e-12       590692      42478.4       622613
 2.23481e-12       590014      43919.8       623091
 2.30969e-12       589331      45358.8       623568
 2.38457e-12       588644      46795.3       624043
 2.45946e-12       587951      48229.4       624517
 2.53434e-12       587255      49660.9       624989
 2.60922e-12       586553      51089.9       625460
  2.6841e-12       585847      52516.4       625930
 2.75899e-12       585136      53940.3       626398
 2.83387e-12       584420      55361.5       626865
 2.90875e-12       583700      56780.1       627331
 2.98363e-12       582975        58196       627795
 3.09723e-12       581867      60338.7       628498
 3.21082e-12       580748      62475.1       629197
 3.32441e-12       579619      64605.1       629893
   3.438e-12       578479      66728.6       630587
  3.5516e-12       577330      68845.5       631279
 3.66519e-12       576169      70955.7       631967
 3.77878e-12       574999      73059.2       632653
 3.89237e-12       573819      75155.8       633337
 4.00597e-12       572628      77245.5       634018
 4.11956e-12       571428      79328.2       634696
 4.23315e-12       570218      81403.8       635373
 4.34675e-12       568998      83472.2       636047
 4.46034e-12       567767      85533.3       636719
 4.57393e-12       566528        87587       637388
 4.68752e-12       565278      89633.4       638056
 4.80112e-12       564019      91672.2       638721
 4.91471e-12       562751      93703.5       639385
  5.0283e-12       561473      95727.1       640046
 5.14189e-12       560185        97743       640706
 5.25549e-12       558889      99751.1       641364
 5.36908e-12       557582       101751       642019
 5.48267e-12       556267       103744       642674
 5.59627e-12       554943       105728       643326
 5.70986e-12       553609       107704       643976
 5.82345e-12       552267       109672       644625
 5.93705e-12       550915       111632       645273
 6.05064e-12       549555       113583       645918
 6.16423e-12       548185       115526       646563
 6.27782e-12       546807       117461       647205
 6.39142e-12       545420       119387       647846
 6.50501e-12       544025       121305       648486
  6.6186e-12       542621       123214       649125
 6.73219e-12       541208       125115       649762
 6.84579e-12       539787       127006       650397
