# d/l_ex  Hc/Ms  Mr_x/Ms  Mr_y/Ms
# d=0.100000, mesh='film_d005.h5', scaling=0.020000
0.100000 -0.049523 0.999994 0.003456
# d=1.000000, mesh='film_d005.h5', scaling=0.200000
1.000000 -0.049026 0.999999 0.000654
# d=2.000000, mesh='film_d005.nmesh', scaling=0.400000
2.000000 -0.049017 0.999993 0.000548
# d=3.000000, mesh='film_d005.nmesh', scaling=0.600000
3.000000 -0.049070 0.999967 0.000516
# d=4.000000, mesh='film_d005.h5', scaling=0.800000
4.000000 -0.048802 0.999908 0.000422
# d=5.000000, mesh='film_d005.nmesh', scaling=1.000000
5.000000 -0.048470 0.999806 0.000371
# d=6.000000, mesh='film_d010.h5', scaling=0.600000
6.000000 -0.048070 0.999653 0.000305
# d=7.000000, mesh='film_d010.h5', scaling=0.700000
7.000000 -0.047706 0.999450 0.000392
# d=8.000000, mesh='film_d010.h5', scaling=0.800000
8.000000 -0.047356 0.999191 0.000463
# d=9.000000, mesh='film_d010.h5', scaling=0.900000
9.000000 -0.047018 0.998873 0.000678
# d=10.000000, mesh='film_d010.h5', scaling=1.000000
10.000000 -0.046656 0.998492 0.001259
# d=11.000000, mesh='film_d015.h5', scaling=0.733333
11.000000 -0.051428 0.988355 0.061623
# d=12.000000, mesh='film_d015.h5', scaling=0.800000
12.000000 -0.050935 0.984033 0.070160
# d=13.000000, mesh='film_d015.h5', scaling=0.866667
13.000000 -0.050018 0.980585 0.074833
# d=14.000000, mesh='film_d015.h5', scaling=0.933333
14.000000 -0.049520 0.977939 0.077038
# d=15.000000, mesh='film_d015.h5', scaling=1.000000
15.000000 -0.049021 0.975659 0.078327
# d=16.000000, mesh='film_d020.h5', scaling=0.800000
16.000000 -0.049033 0.972581 0.080788
# d=17.000000, mesh='film_d020.h5', scaling=0.850000
17.000000 -0.048535 0.971010 0.080689
# d=18.000000, mesh='film_d020.h5', scaling=0.900000
18.000000 -0.048035 0.969657 0.080305
# d=19.000000, mesh='film_d020.h5', scaling=0.950000
19.000000 -0.047537 0.968447 0.079799
# d=20.000000, mesh='film_d020.h5', scaling=1.000000
20.000000 -0.047039 0.967392 0.079132
