#Hcrit/Ms Remanence
#d/lex 	end propagation 	end switch 	vortex formation Mx/Ms 	My/Ms 	Mz/Ms
3.16 	0.0600 	empty	empty  	1.0000 	0.0007 	 0.0000
10 	0.0586 	0.0007 	empty  	0.9959 	0.0376 	-0.0000
14 	0.0558 	0.0145	empty  	0.9783 	0.0822 	0.0000
17.8 	0.0531 	0.0278	empty  	0.9711 	0.0851 	0.0000
23 	0.0503 	0.0393	empty  	0.9657 	0.0823 	0.0000
27 	0.0489 	0.0448	empty  	0.9631 	0.0792 	0.0000
31.6 	empty  	0.0517	empty  	0.9609 	0.0760 	0.0000
35 	empty  	0.0553	empty  	0.9595 	0.0739 	0.0000
40 	empty  	empty  	0.0532 	0.9577 	0.0710 	0.0000
56 	empty  	empty  	0.0408 	0.9527 	0.0638 	0.0000
75 	empty  	empty  	0.0200 	0.9478 	0.0572 	0.0003
