#d/lex 	Cellsize/lex 	Hc/Ms  	Hs/Ms 	Mx/Ms 	My/Ms 	MaxAngle/run (deg)
30	0.60 	0.04594 	0.04594 	0.9627	0.0756 	13.4
29	0.58 	0.04630 	0.04630 	0.9632	0.0763 	12.8
28	0.56 	0.04666 	0.04666 	0.9638	0.0769 	12.2
27	0.54 	0.04704 	0.04704 	0.9644	0.0776 	11.6
26	0.52 	0.04740 	0.04740 	0.9650	0.0783 	11.0
25	0.50 	0.04779 	0.04779 	0.9657	0.0790 	10.4
24	0.48 	0.04817 	0.04817 	0.9664	0.0797 	9.75
23	0.46 	0.04859 	0.04859 	0.9672	0.0803 	9.16
22	0.44 	0.04903 	0.04903 	0.9680	0.0809 	8.57
21	0.42 	0.04947 	0.04947 	0.9690	0.0814 	7.98
20	0.40 	0.04991 	0.04991 	0.9701	0.0819 	7.41
19	0.38 	0.05041 	0.05041 	0.9713	0.0822 	6.85
18	0.36 	0.05090 	0.05090 	0.9727	0.0822 	6.31
17	0.34 	0.05145 	0.05145 	0.9743	0.0819 	5.77
16	0.32 	0.05200 	0.05200 	0.9762	0.0811 	5.25
15	0.30 	0.05258 	0.05261 	0.9784	0.0795 	4.73
14	0.56 	0.05309 	0.05324 	0.9812	0.0765 	8.4
13	0.52 	0.05352 	0.05388 	0.9845	0.0716 	7.5
12	0.48 	0.05389 	0.05449 	0.9886	0.0631 	6.8
11	0.44 	0.05423 	0.05506 	0.9938	0.0463 	6.1
10	0.40 	0.05454 	0.05562 	0.9989	0.0000 	5.1
9	0.45 	0.05480 	0.05614 	0.9992	0.0000 	4.0
8	0.40 	0.05515 	0.05661 	0.9995	0.0000 	4.0
7	0.35 	0.05546 	0.05702 	0.9996	0.0000 	3.2
6	0.30 	0.05579 	0.05730 	0.9998	0.0000 	2.4
5	0.25 	0.05612 	0.05741 	0.9999	0.0000 	1.8
4	0.20 	0.05646 	0.05735 	0.9999	0.0000 	1.2
3	0.15 	0.05674 	0.05724 	1.0000	0.0000 	0.696
2	0.10 	0.05694 	0.05716 	1.0000	0.0000 	0.314
1	0.05 	0.05704 	0.05716 	1.0000	0.0000 	0.079
0.75	0.15 	0.05705 	0.05713 	1.0000	0.0000 	0.182
0.50	0.10 	0.05706 	0.05713 	1.0000	0.0000 	0.0813
0.25	0.05 	0.05707 	0.05713 	1.0000	0.0000 	0.0204
0.125	0.03 	0.05707 	0.05713 	1.0000	0.0000 	0.0063
